% Model:              surface_mount_package.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 26 2026, 01:45
% Dimension:          3
% Nodes:              4419
% Expressions:        1
% Description:        Temperature
% Length unit:        mm
% X                       Y                        Z                        T (K)
3.08036938477012          3.124361797241152        -0.8999999999999999      303.4406968433984
3.22580295083677          2.939591389536669        -1.0774473825695545      303.4661860454015
3.1750000000000016        2.850000000000001        -0.9000000000000002      303.6353259331408
3.1750000000000007        2.690000000000001        -0.9000000000000002      303.63570483498955
3.2631488040715944        2.7390601151236287       -1.1499999999999955      303.46024540792797
3.0750000000000006        2.770000000000001        -0.9000000000000002      303.6355571213143
3.1247906422237115        2.9922733337292766       -1.2227246615742116      303.44325662211327
2.9750000000000005        2.6900000000000004       -0.9                     303.6354970546234
3.097241775643806         2.640904054162489        -1.0249999999999995      303.51149406738665
3.5288925577468886        3.186269643911783        -1.4010956480990246      303.36254376111816
3.2843359640621284        2.4640476285564          -0.9000000000000001      303.43899359829163
3.8485066728069044        2.659149034717344        -1.1500000000000061      303.35041731192183
3.7468410987716636        2.5152570132173278       -0.8999999999999998      303.3583193193762
3.9841091556725483        2.585389869374801        -0.8999999999999999      303.33573637864424
3.923402944405031         2.2599105590421096       -0.9                     303.32663537342694
4.135629462823818         2.587084182193509        -1.1500000000000001      303.3249745800349
4.160394352802916         2.4431224479393467       -0.9                     303.3186008353288
4.1951156585902165        2.2631765308252          -1.0896081860413807      303.3083479076447
4.197520511474128         2.21392448572618         -0.9                     303.3033176468766
3.51973005454464          2.4808259812326217       -0.9                     303.3975561596428
3.4461137334611944        2.453095333929562        -1.129142367552306       303.4032999630042
4.593668821701766         2.526617004385222        -1.347492719602812       303.28335675687117
4.400504505681462         2.340038659339347        -1.3999999999999944      303.29179847856454
4.2159917282995085        2.7500529521218553       -1.3999999999999995      303.31070397802415
3.7890004464424107        2.933592216851906        -1.4000000000000057      303.34508081557857
4.499464860951424         2.9257269097140615       -1.9                     303.2733396922192
4.034177379308532         3.2755841358235203       -1.9                     303.2987213506022
3.0204430249056657        2.8080226179765067       -1.0649597679696499      303.5121848938397
2.9750000000000005        2.8500000000000005       -0.9                     303.6349977417122
2.9159388129521284        2.9752588303773115       -1.1209828358127725      303.475431049581
2.7346206141021407        2.9791208252919974       -0.9                     303.49154779205173
2.7909443666358675        2.7614010897293157       -0.9000000000000001      303.51209233698626
6.6021474954997785        2.744701958722529        -0.9                     303.1847394490823
5.822848811200478         2.2915530893852853       -0.9                     303.2071102402615
6.541615556688195         2.467179060017069        -1.9                     303.18645202450733
7.541496666852582         2.0156700818120306       -1.9                     303.17076596060326
7.745271178147889         2.156805871181858        -0.9                     303.16851175344885
8.798891854452146         1.4442122802471435       -0.9                     303.1612233090222
8.713205583600345         1.3086576180505274       -1.9                     303.16171202573463
10                        0.7142857142857135       -0.9                     303.15783093326473
10                        0.7142857142857135       -1.9                     303.1578184551175
2.9650358137361383        3.2295959264048717       -1.3608953950214497      303.4259510720575
2.7708648815334866        3.2411249510602054       -0.9                     303.45100943171576
3.2537726229553066        3.417911071571711        -1.3974794215370925      303.3760568774426
3.743596191080595         3.6618939696960267       -1.2525888917056962      303.31546275757324
4.5086964496415           3.619215272113942        -1.243611107523523       303.26423776617986
4.701439729547647         3.811070884329129        -1.9                     303.2431671371841
3.873669328883121         3.774408696926828        -1.9                     303.29279589476306
4.697720072334988         4.138198970181186        -0.9                     303.2368436009161
4.0890829428703865        3.989364895158864        -0.8999999999999999      303.272672618627
5.450540131251512         5                        -1.9                     303.1991589099375
5.426953740314421         5                        -0.9                     303.19975116679785
3.05114830085319          3.6446081642400308       -0.8999999999999999      303.3743566476742
3.463454337392329         4.226264367799792        -0.9                     303.3033903993957
4.208415748486074         5                        -0.9                     303.2420857964672
5.741860685797505         1.9884359465116397       -1.9                     303.2092556226836
5.452896334931911         1.6343454109573128       -0.9                     303.2190953414789
4.312822201345566         1.9174025745275496       -0.9                     303.2849066623549
3.1194835512876065        2.511808108324973        -1.1499999999999988      303.4556531316238
2.9109230711313625        2.613557311432611        -1.1499999999999952      303.48424530270154
2.757741204102784         2.576808545217796        -0.9                     303.4987098331382
2.9063067482107057        2.452992469309029        -0.9                     303.4715924418787
3.0867775662002903        2.4550766706079994       -0.9000000000000001      303.4636750768913
3.748107404215171         2.243500534149432        -1.1500000000000064      303.3474594460933
3.411483068185565         2.2629024443300163       -0.9                     303.38759727736806
3.6630412265527394        2.213246086137553        -0.9                     303.351490656949
3.19442952260456          2.166548384576399        -0.8999999999999999      303.4029878341327
4.074011116372281         1.869103886298262        -0.9                     303.3006670587743
3.772527763480177         1.9567009462225187       -0.9                     303.3285272282515
4.552569016999472         1.9968023523683436       -0.8999999999999999      303.27104456662767
4.926738906200453         1.8796817516433602       -0.9000000000000001      303.2459374494165
4.551744024450519         2.1388840481102704       -1.348480226865562       303.27715160948105
4.5134402211175075        1.7047240927782008       -0.9                     303.26702154114474
4.976820758595632         2.120444309098002        -1.3615278027189999      303.24900854391393
4.8409660203132185        2.4430273747836093       -1.9000000000000001      303.25316175317414
5.1768150993223525        2.017048823900364        -1.9                     303.23259811790973
3.5228497021527994        2.5583459804682778       -1.4000000000000024      303.3805068954579
3.2363772955751675        2.961454179002687        -1.4036970247916232      303.41239139757977
2.887143158780784         2.851960630358212        -1.3618848571160447      303.4634251166198
3.1416845312593185        2.6237154007225376       -1.3163567824722         303.4398830498101
3.458189547031325         3.2293346461882413       -1.9                     303.34989175712286
3.236263959888115         2.1750697468867832       -1.3579142440969987      303.3993043634375
4.130908926433799         2.0296730197388007       -1.3411728829218323      303.305040542349
3.894401796162415         2.488571730689301        -1.400000000000004       303.3358929674107
3.6039826714582497        2.2460577307919167       -1.3817302084825491      303.3603444472482
4.242040886040362         2.358023376275527        -1.9                     303.29237544179534
3.8389952503710303        2.6820507348529112       -1.9                     303.3265948760653
2.4884500722954326        3.1467633514546103       -0.9000000000000001      303.51220183483764
2.4019792163021227        2.9141361135691604       -0.9                     303.57774665029973
2.511660886382474         2.997100259402274        -1.1499999999999995      303.52856239108246
