mkl_pds_lp64_kg_diafree_adjnodia_pardiso	0.12s	0.12s	1.33%	1.33%	busbar_example	[unknown]	0	0x7ff6d2d4488a
mpfem::Mesh::buildFaceToElementMap	0.03s	0.12s	0.32%	1.32%	busbar_example	E:\code\cpp\mpfem\src\mesh\mesh.cpp	353	0x7ff6d860234f
mpfem::FESpace::buildDofTable	0.02s	0.12s	0.27%	1.31%	busbar_example	E:\code\cpp\mpfem\src\field\fe_space.cpp	139	0x7ff6d86ba72c
[00007FFC7612152E]	0.11s	0.11s	1.21%	1.21%	busbar_example		0	0x7ffc7612152e
mkl_pds_lp64_sfinit_pardiso	0.00s	0.11s	0.00%	1.20%	busbar_example	[unknown]	0	0x7ff6d2c9d41f
mkl_serv_second	0.00s	0.10s	0.03%	1.12%	busbar_example	[unknown]	0	0x7ff6d2c21fa7
mkl_serv_get_clocks_frequency	0.00s	0.10s	0.00%	1.12%	busbar_example	[unknown]	0	0x7ff6d2c20f45
mkl_serv_dsecnd	0.00s	0.10s	0.00%	1.12%	busbar_example	[unknown]	0	0x7ff6d2c20eac
mkl_pds_lp64_timer_pardiso	0.00s	0.10s	0.00%	1.12%	busbar_example	[unknown]	0	0x7ff6d2b21311
mkl_pds_lp64_check_input_fc	0.00s	0.10s	0.00%	1.12%	busbar_example	[unknown]	0	0x7ff6d2b14376
mpfem::ElementTransform::computeInverse	0.01s	0.10s	0.13%	1.08%	busbar_example	E:\code\cpp\mpfem\src\fe\element_transform.cpp	60	0x7ff6d89f9a2d
mkl_pds_lp64_metis_growbisection	0.00s	0.09s	0.00%	1.04%	busbar_example	[unknown]	0	0x7ff6d2ca9ec0
mkl_pds_lp64_metis_init2waypartition	0.00s	0.09s	0.00%	1.04%	busbar_example	[unknown]	0	0x7ff6d2ca9a5c
mkl_pds_lp64_metis_idxset	0.09s	0.09s	1.03%	1.03%	busbar_example	[unknown]	0	0x7ff6d2b0bc80
mpfem::`anonymous namespace'::evalScalarNode	0.01s	0.09s	0.15%	1.03%	busbar_example	E:\code\cpp\mpfem\src\assembly\integrators.cpp	36	0x7ff6d86a63d8
mkl_serv_calloc	0.09s	0.09s	1.01%	1.01%	busbar_example	[unknown]	0	0x7ff6d2af24d1
mpfem::CgOperator::setup	0.00s	0.09s	0.00%	0.97%	busbar_example	E:\code\cpp\mpfem\src\solver\eigen_solver.cpp	36	0x7ff6d895ae3c
std::vector<double,std::allocator<double> >::_Resize<std::_Value_init_tag>	0.00s	0.08s	0.00%	0.88%	busbar_example	E:\env\cpp\VS14\VC\Tools\MSVC\14.50.35717\include\vector	1608	0x7ff6d86e7572
std::_Zero_range<double *>	0.00s	0.08s	0.00%	0.88%	busbar_example	E:\env\cpp\VS14\VC\Tools\MSVC\14.50.35717\include\xmemory	2093	0x7ff6d860ade6
mkl_pds_lp64_metis_splitgraphorder	0.03s	0.08s	0.35%	0.87%	busbar_example	[unknown]	0	0x7ff6d2c2bfa1
mkl_pds_lp64_metis_fm_2waynoderefine	0.06s	0.08s	0.69%	0.86%	busbar_example	[unknown]	0	0x7ff6d2d46602
mkl_pds_lp64_metis_constructseparator	0.00s	0.08s	0.00%	0.86%	busbar_example	[unknown]	0	0x7ff6d2ca3ac1
mkl_pds_lp64_metis_fm_2wayedgerefine	0.02s	0.08s	0.18%	0.86%	busbar_example	[unknown]	0	0x7ff6d2d50d3e
mpfem::applyDirichletBC	0.00s	0.07s	0.00%	0.84%	busbar_example	E:\code\cpp\mpfem\src\assembly\dirichlet_bc.hpp	30	0x7ff6d8647120
mkl_spblas_lp64_avx2_dcsr1ng__f__mvout_par	0.07s	0.07s	0.83%	0.83%	busbar_example	[unknown]	0	0x7ff6d60efbb0
mkl_spblas_lp64_dcsr1ng__f__mvout_omp	0.00s	0.07s	0.00%	0.83%	busbar_example	[unknown]	0	0x7ff6d3d1b103
mkl_spblas_lp64_mkl_dcsrmv	0.00s	0.07s	0.00%	0.83%	busbar_example	[unknown]	0	0x7ff6d38d90fb
mpfem::ResultExporter::exportVtuImpl	0.00s	0.07s	0.02%	0.82%	busbar_example	E:\code\cpp\mpfem\src\io\result_exporter.cpp	361	0x7ff6d85c7f97
mpfem::`anonymous namespace'::buildVertexComponentDofs	0.02s	0.07s	0.25%	0.78%	busbar_example	E:\code\cpp\mpfem\src\io\result_exporter.cpp	62	0x7ff6d85c3f7f
std::getline<char,std::char_traits<char>,std::allocator<char> >	0.00s	0.07s	0.05%	0.77%	busbar_example	E:\env\cpp\VS14\VC\Tools\MSVC\14.50.35717\include\string	26	0x7ff6d85de495
Eigen::internal::conditional_aligned_new_auto<double,1>	0.00s	0.07s	0.00%	0.77%	busbar_example	E:\code\cpp\mpfem\build-msvc\vcpkg_installed\x64-windows\include\eigen3\Eigen\src\Core\util\Memory.h	496	0x7ff6d8574942
